,Unnamed: 0,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
0,0,H6588001_S_Samsung_TabA_8_2019_WiFi,tablet,三星,"Tab A 8"" 2019 2GB+32GB Wi-Fi 平板電腦 T290 銀色 香港行貨",949.0,5.0,2,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/平板電腦/Tab-A-8-2019-2GB32GB-WiFi-平板電腦-T290-銀色-香港行貨/p/H6588001_S_Samsung_TabA_8_2019_WiFi
1,1,H6800001_S_BGT0026,tablet,安博科技,安博科技 UPAD PRO 4G（送套）,1480.0,5.0,1,環球貿易,https://www.hktvmall.com/hktv/zh/main/環球貿易/s/H6800001/電子電器/電子電器/電腦及週邊設備/平板電腦/安博科技-UPAD-PRO-4G送套/p/H6800001_S_BGT0026
2,2,H5300001_S_FXMM1806D9E464GBGD4,tablet,小米,"小米平板 4 8.0"" LTE（一年保養）4+64GB 金色",1799.0,0.0,0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/電子電器/電子電器/手機及平板電腦/平板電腦/小米平板-4-80-LTE一年保養464GB-金色/p/H5300001_S_FXMM1806D9E464GBGD4
3,3,H5300001_S_FSAT510232GBBK,tablet,三星,"Galaxy Tab A 10.1 "" WiFi T510 2GB+32GB 黑色（平行進口）",1799.0,0.0,0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/電子電器/電子電器/手機及平板電腦/平板電腦/Galaxy-Tab-A-101-WiFi-T510-2GB32GB-黑色平行進口/p/H5300001_S_FSAT510232GBBK
4,4,H6588001_S_Samsung_TabS6_WiFi_128_GY,tablet,三星,Tab S6 6GB+128GB Wi-Fi 平板電腦 T860 灰色 香港行貨,4999.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/平板電腦/Tab-S6-6GB128GB-WiFi-平板電腦-T860-灰色-香港行貨/p/H6588001_S_Samsung_TabS6_WiFi_128_GY
5,5,H0972006_S_F7,tablet,Teclast,超薄 notebook - F7 (6+128GB),2222.0,3.4,17,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/手機及平板電腦/平板電腦/超薄-notebook-F7-6128GB/p/H0972006_S_F7
6,6,H5300001_S_FSAT5152-32GBBK,tablet,三星,"Galaxy Tab A 10.1 "" LTE T515 2GB+32GB 黑色（平行進口）",2099.0,0.0,0,Citylink,https://www.hktvmall.com/hktv/zh/main/Citylink/s/H5300001/電子電器/電子電器/手機及平板電腦/平板電腦/Galaxy-Tab-A-101-LTE-T515-2GB32GB-黑色平行進口/p/H5300001_S_FSAT5152-32GBBK
7,7,H6588001_S_Huawei_M5_Lite_8_LTE,tablet,Huawei,M5 Lite 8 LTE 3GB+32GB 平板電腦 深空灰色 香港行貨,1599.0,4.0,1,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/平板電腦/M5-Lite-8-LTE-3GB32GB-平板電腦-深空灰色-香港行貨/p/H6588001_S_Huawei_M5_Lite_8_LTE
8,8,H0762001_S_Galaxy-Tab-S5e-LTE-T725-800670050,tablet,三星,Galaxy Tab S5e (LTE) (T725),4148.0,0.0,0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/手機及平板電腦/平板電腦/Galaxy-Tab-S5e-LTE-T725/p/H0762001_S_Galaxy-Tab-S5e-LTE-T725-800670050
9,9,H5912001_S_T0046,tablet,Huawei,MediaPad M5 lite 平板 4+64GB（香港行貨）,2548.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/電腦及週邊設備/平板電腦/MediaPad-M5-lite-平板-464GB香港行貨/p/H5912001_S_T0046
